These results were downloaded and refreshed on October   20, 2015 at 12:18 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 20 octobre 2015 à 12h18 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Montgomery		Mike	Green Party	Parti Vert	1341	2.8	0	48301
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Samson		Darrell	Liberal	Libéral	23161	48	0	48301
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Stoffer		Peter	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	16613	34.4	0	48301
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Strickland		Robert Thomas	Conservative	Conservateur	7186	14.9	0	48301
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Barry		Ryan	Communist	Communiste	151	.3	0	52488
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Biggar		Richard	Green Party	Parti Vert	1520	2.9	0	52488
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Bruhm		Trevor	Independent	Indépendant	257	.5	0	52488
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Clark		Richard	Conservative	Conservateur	11844	22.6	0	52488
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Godbold		Alex	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8839	16.8	0	52488
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Jordan		Bernadette	Liberal	Libéral	29877	56.9	0	52488
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Chiasson		John Douglas	Conservative	Conservateur	4377	10.6	0	41188
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Dutt		Monika	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5362	13	0	41188
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Eyking		Mark	Liberal	Libéral	30181	73.3	0	41188
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Hiscock		Wayne James	Libertarian	Libertarien	242	.6	0	41188
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	MacKinnon		Adrianna	Green Party	Parti Vert	1026	2.5	0	41188
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Foster		Greg	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3507	7.7	0	45824
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Fraser		Colin	Liberal	Libéral	28607	62.4	0	45824
12011	West Nova	Nova-Ouest	preliminary	préliminaires	LeBlanc		Arnold	Conservative	Conservateur	11772	25.7	0	45824
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Walton		Clark	Green Party	Parti Vert	1938	4.2	0	45824
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Breau		Dominique	Green Party	Parti Vert	1187	2.3	0	50958
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Cormier		Serge	Liberal	Libéral	25840	50.7	0	50958
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Girouard-Riordon		Riba	Conservative	Conservateur	3852	7.6	0	50958
